,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
0,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
1,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
2,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
3,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
4,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
5,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
6,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
7,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
8,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,18-24,False,A no further action disposal
10,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,18-24,False,A no further action disposal
11,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
12,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
13,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
14,Person and Vehicle search,2020-01,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
15,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
16,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
17,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
18,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
19,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
20,Person search,2020-01,Colchester,Asian,Other ethnic group - Any other ethnic group,Male,18-24,False,A no further action disposal
21,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
22,Person and Vehicle search,2020-01,Colchester,Other,Other ethnic group - Not stated,Male,over 34,True,A no further action disposal
23,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,Arrest
24,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,Arrest
25,Person and Vehicle search,2020-01,Colchester,Asian,Asian/Asian British - Pakistani,Male,18-24,False,A no further action disposal
26,Person and Vehicle search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Asian,Male,18-24,True,Khat or Cannabis warning
27,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
28,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,Arrest
29,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,Arrest
30,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Caution (simple or conditional)
31,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
32,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,10-17,False,A no further action disposal
33,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
34,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
35,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,A no further action disposal
36,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
37,Person and Vehicle search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,True,A no further action disposal
38,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
39,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
40,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,Arrest
41,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
42,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
43,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Summons / charged by post
44,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
45,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
46,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
47,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
48,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,10-17,False,A no further action disposal
49,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,Community resolution
50,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
51,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
52,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
53,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
54,Person search,2020-01,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
55,Person search,2020-01,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
56,Person search,2020-01,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
57,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
58,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
59,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
60,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
61,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Female,over 34,False,A no further action disposal
62,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Summons / charged by post
63,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,25-34,False,Arrest
64,Person search,2020-01,Colchester,Black,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
65,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
66,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
67,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
68,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
69,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
70,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
71,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
72,Person search,2020-01,Colchester,Asian,Asian/Asian British - Indian,Male,25-34,False,Arrest
73,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
74,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
75,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,A no further action disposal
76,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
77,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
78,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
79,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
80,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
81,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
82,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
83,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
84,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
85,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
86,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
87,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
88,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
89,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
90,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,Arrest
91,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
92,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
93,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
94,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
95,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
96,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
97,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
98,Person search,2020-01,Colchester,Asian,Asian/Asian British - Indian,Male,over 34,False,Summons / charged by post
